,feature_raw,feature_type,feature_name,feature_value,gini_importance
190,categorical__country of birth self_South Korea,categorical,country of birth self,South Korea,0.00010471710731983858
191,categorical__country of birth mother_Vietnam,categorical,country of birth mother,Vietnam,9.743037481847837e-05
192,categorical__country of birth self_Portugal,categorical,country of birth self,Portugal,9.576363376585106e-05
193,categorical__country of birth self_Hong Kong,categorical,country of birth self,Hong Kong,8.639838770408808e-05
194,categorical__major industry code_Private household services,categorical,major industry code,Private household services,8.454622680373188e-05
195,categorical__country of birth father_India,categorical,country of birth father,India,8.329054215701638e-05
196,categorical__country of birth self_Puerto-Rico,categorical,country of birth self,Puerto-Rico,7.98161115128311e-05
197,categorical__country of birth father_Cambodia,categorical,country of birth father,Cambodia,7.656554663902484e-05
198,categorical__country of birth self_Greece,categorical,country of birth self,Greece,7.306790131873357e-05
199,categorical__reason for unemployment_Re-entrant,categorical,reason for unemployment,Re-entrant,7.271007088220864e-05
200,categorical__country of birth mother_Columbia,categorical,country of birth mother,Columbia,7.047117786064748e-05
201,categorical__education_Less than 1st grade,categorical,education,Less than 1st grade,6.989873289151538e-05
202,categorical__country of birth mother_Nicaragua,categorical,country of birth mother,Nicaragua,6.795786770052622e-05
203,categorical__country of birth father_Vietnam,categorical,country of birth father,Vietnam,6.733640609663534e-05
204,categorical__country of birth father_Nicaragua,categorical,country of birth father,Nicaragua,6.628730593969184e-05
205,categorical__country of birth father_Taiwan,categorical,country of birth father,Taiwan,6.537211325354131e-05
206,categorical__country of birth self_Dominican-Republic,categorical,country of birth self,Dominican-Republic,6.422474666718187e-05
207,categorical__country of birth mother_Holand-Netherlands,categorical,country of birth mother,Holand-Netherlands,5.785108452906363e-05
208,categorical__country of birth father_Columbia,categorical,country of birth father,Columbia,5.526517303283869e-05
209,categorical__country of birth father_El-Salvador,categorical,country of birth father,El-Salvador,4.7764969216624756e-05
210,categorical__country of birth mother_Ecuador,categorical,country of birth mother,Ecuador,4.264851792743008e-05
211,categorical__major occupation code_Armed Forces,categorical,major occupation code,Armed Forces,4.18794798882383e-05
212,categorical__country of birth father_Thailand,categorical,country of birth father,Thailand,3.884281065547049e-05
213,categorical__country of birth father_Guatemala,categorical,country of birth father,Guatemala,3.879237432842678e-05
214,categorical__country of birth self_Ecuador,categorical,country of birth self,Ecuador,3.627912215833717e-05
215,categorical__citizenship_Native- Born in Puerto Rico or U S Outlying,categorical,citizenship,Native- Born in Puerto Rico or U S Outlying,3.4377608994309035e-05
216,categorical__country of birth mother_Laos,categorical,country of birth mother,Laos,3.101037915919651e-05
217,categorical__country of birth self_Columbia,categorical,country of birth self,Columbia,2.9689443682031158e-05
218,categorical__country of birth father_Dominican-Republic,categorical,country of birth father,Dominican-Republic,2.430679444761037e-05
219,categorical__class of worker_Without pay,categorical,class of worker,Without pay,2.095589477588191e-05
220,categorical__country of birth mother_Thailand,categorical,country of birth mother,Thailand,1.9469530670888698e-05
221,categorical__country of birth self_Vietnam,categorical,country of birth self,Vietnam,1.5236568168018409e-05
222,categorical__detailed household summary in household_Group Quarters- Secondary individual,categorical,detailed household summary in household,Group Quarters- Secondary individual,1.4156359835130264e-05
223,categorical__country of birth self_Yugoslavia,categorical,country of birth self,Yugoslavia,1.0458999906532695e-05
224,categorical__enroll in edu inst last wk_High school,categorical,enroll in edu inst last wk,High school,8.16809295380726e-06
225,categorical__major occupation code_Private household services,categorical,major occupation code,Private household services,7.075124432330016e-06
226,categorical__country of birth father_Ecuador,categorical,country of birth father,Ecuador,5.325893075834715e-06
227,categorical__reason for unemployment_New entrant,categorical,reason for unemployment,New entrant,2.139874282290075e-06
228,categorical__class of worker_Never worked,categorical,class of worker,Never worked,2.8029197284886154e-08
229,categorical__country of birth father_Honduras,categorical,country of birth father,Honduras,3.9798986712323e-18
230,categorical__country of birth self_Iran,categorical,country of birth self,Iran,1.4288891516415658e-18
231,categorical__detailed household summary in household_Child under 18 ever married,categorical,detailed household summary in household,Child under 18 ever married,0.0
232,categorical__detailed household summary in household_Child under 18 never married,categorical,detailed household summary in household,Child under 18 never married,0.0
233,categorical__country of birth father_Panama,categorical,country of birth father,Panama,0.0
234,categorical__country of birth father_Outlying-U S (Guam USVI etc),categorical,country of birth father,Outlying-U S (Guam USVI etc),0.0
235,categorical__country of birth father_Hong Kong,categorical,country of birth father,Hong Kong,0.0
236,categorical__country of birth mother_Honduras,categorical,country of birth mother,Honduras,0.0
237,categorical__country of birth mother_Cambodia,categorical,country of birth mother,Cambodia,0.0
238,categorical__country of birth father_Trinadad&Tobago,categorical,country of birth father,Trinadad&Tobago,0.0
239,categorical__country of birth father_Laos,categorical,country of birth father,Laos,0.0
240,categorical__country of birth father_Peru,categorical,country of birth father,Peru,0.0
241,categorical__country of birth mother_Haiti,categorical,country of birth mother,Haiti,0.0
242,categorical__country of birth mother_Guatemala,categorical,country of birth mother,Guatemala,0.0
243,categorical__country of birth mother_Hong Kong,categorical,country of birth mother,Hong Kong,0.0
244,categorical__education_Children,categorical,education,Children,0.0
245,categorical__country of birth self_Cambodia,categorical,country of birth self,Cambodia,0.0
246,categorical__country of birth mother_Outlying-U S (Guam USVI etc),categorical,country of birth mother,Outlying-U S (Guam USVI etc),0.0
247,categorical__country of birth mother_Panama,categorical,country of birth mother,Panama,0.0
248,categorical__country of birth self_Holand-Netherlands,categorical,country of birth self,Holand-Netherlands,0.0
249,categorical__country of birth self_Laos,categorical,country of birth self,Laos,0.0
250,categorical__country of birth self_Guatemala,categorical,country of birth self,Guatemala,0.0
251,categorical__country of birth self_Honduras,categorical,country of birth self,Honduras,0.0
252,categorical__country of birth self_Panama,categorical,country of birth self,Panama,0.0
253,categorical__country of birth self_Outlying-U S (Guam USVI etc),categorical,country of birth self,Outlying-U S (Guam USVI etc),0.0
254,categorical__country of birth self_Nicaragua,categorical,country of birth self,Nicaragua,0.0
255,categorical__country of birth self_Thailand,categorical,country of birth self,Thailand,0.0
256,categorical__country of birth self_Trinadad&Tobago,categorical,country of birth self,Trinadad&Tobago,0.0
